Country,Code,median_age
Afghanistan,AFG,16.234
Albania,ALB,34.708
Algeria,DZA,27.431
Andorra,AND,41.731
Angola,AGO,16.302
Antigua and Barbuda,ATG,33.83
Argentina,ARG,30.763
Armenia,ARM,34.525
Australia,AUS,36.543
Austria,AUT,42.433
Azerbaijan,AZE,30.699
Bahamas,BHS,33.247
Bahrain,BHR,31.21
Bangladesh,BGD,24.38
Barbados,BRB,37.921
Belarus,BLR,39.288
Belgium,BEL,40.735
Belize,BLZ,24.273
Benin,BEN,17.331
Bhutan,BTN,27.055
Bolivia,BOL,23.8
Bosnia and Herzegovina,BIH,43.292
Botswana,BWA,22.105
Brazil,BRA,32.256
Brunei,BRN,29.96
Bulgaria,BGR,43.628
Burkina Faso,BFA,16.444
Burundi,BDI,15.194
Cambodia,KHM,24.842
Cameroon,CMR,17.374
Canada,CAN,39.788
Cape Verde,CPV,26.018
Central African Republic,CAF,14.368
Chad,TCD,14.813
Chile,CHL,34.328
China,CHN,37.026
Colombia,COL,30.084
Comoros,COM,19.457
Congo,COG,18.051
Costa Rica,CRI,32.014
Cote d'Ivoire,CIV,17.817
Croatia,HRV,43.952
Cuba,CUB,41.096
Cyprus,CYP,36.12
Czechia,CZE,41.963
Democratic Republic of Congo,COD,15.844
Denmark,DNK,40.993
Djibouti,DJI,23.213
Dominica,DMA,33.969
Dominican Republic,DOM,26.388
East Timor,TLS,19.813
Ecuador,ECU,26.856
Egypt,EGY,23.328
El Salvador,SLV,25.293
Equatorial Guinea,GNQ,21.16
Eritrea,ERI,17.78
Estonia,EST,41.213
Eswatini,SWZ,21.012
Ethiopia,ETH,17.926
Fiji,FJI,26.776
Finland,FIN,41.974
France,FRA,41.08
French Guiana,GUF,24.963
Gabon,GAB,21.459
Gambia,GMB,17.468
Georgia,GEO,36.329
Germany,DEU,44.904
Ghana,GHA,20.25
Greece,GRC,44.005
Greenland,GRL,33.475
Grenada,GRD,31.442
Guatemala,GTM,21.215
Guinea,GIN,17.435
Guinea-Bissau,GNB,18.188
Guyana,GUY,24.613
Haiti,HTI,22.507
Honduras,HND,22.245
Hungary,HUN,42.118
Iceland,ISL,35.454
India,IND,26.668
Indonesia,IDN,28.891
Iran,IRN,30.785
Iraq,IRQ,19.363
Ireland,IRL,36.883
Israel,ISR,28.935
Italy,ITA,45.998
Jamaica,JAM,29.746
Japan,JPN,47.262
Jordan,JOR,22.906
Kazakhstan,KAZ,29.063
Kenya,KEN,18.541
Kiribati,KIR,21.993
Kosovo,XKX,29.267
Kuwait,KWT,36.212
Kyrgyzstan,KGZ,24.47
Laos,LAO,23.087
Latvia,LVA,42.639
Lebanon,LBN,27.946
Lesotho,LSO,20.838
Liberia,LBR,17.766
Libya,LBY,26.235
Liechtenstein,LIE,43.386
Lithuania,LTU,43.14
Luxembourg,LUX,38.484
Madagascar,MDG,18.242
Malawi,MWI,16.695
Malaysia,MYS,28.175
Maldives,MDV,28.513
Mali,MLI,15.021
Malta,MLT,38.893
Marshall Islands,MHL,21.337
Mauritania,MRT,16.772
Mauritius,MUS,35.594
Mexico,MEX,27.616
Micronesia (country),FSM,21.89
Moldova,MDA,36.459
Monaco,MCO,54.642
Mongolia,MNG,26.334
Montenegro,MNE,38.341
Morocco,MAR,27.874
Mozambique,MOZ,16.07
Myanmar,MMR,28.445
Namibia,NAM,20.733
Nauru,NRU,20.903
Nepal,NPL,22.663
Netherlands,NLD,41.489
New Caledonia,NCL,32.476
New Zealand,NZL,36.287
Nicaragua,NIC,23.98
Niger,NER,14.699
Nigeria,NGA,17.053
North Korea,PRK,35.124
North Macedonia,MKD,38.861
Norway,NOR,38.797
Oman,OMN,28.88
Pakistan,PAK,19.652
Palau,PLW,36.439
Palestine,PSE,19.152
Panama,PAN,28.361
Papua New Guinea,PNG,21.543
Paraguay,PRY,25.215
Peru,PER,28.221
Philippines,PHL,23.689
Poland,POL,39.742
Portugal,PRT,44.604
Puerto Rico,PRI,43.746
Qatar,QAT,31.206
Romania,ROU,41.628
Russia,RUS,38.441
Rwanda,RWA,18.742
Saint Kitts and Nevis,KNA,33.673
Saint Lucia,LCA,32.16
Saint Vincent and the Grenadines,VCT,32.735
Samoa,WSM,20.42
San Marino,SMR,45.332
Sao Tome and Principe,STP,18.32
Saudi Arabia,SAU,28.404
Senegal,SEN,18.16
Serbia,SRB,43.166
Seychelles,SYC,32.239
Sierra Leone,SLE,18.4
Singapore,SGP,34.186
Slovakia,SVK,39.805
Slovenia,SVN,42.973
Solomon Islands,SLB,19.482
Somalia,SOM,15.214
South Africa,ZAF,26.873
South Korea,KOR,42.184
South Sudan,SSD,16.594
Spain,ESP,43.138
Sri Lanka,LKA,31.816
Sudan,SDN,17.675
Suriname,SUR,27.298
Sweden,SWE,39.529
Switzerland,CHE,41.582
Syria,SYR,19.807
Taiwan,TWN,41.146
Tajikistan,TJK,21.276
Tanzania,TZA,16.834
Thailand,THA,37.714
Togo,TGO,18.409
Tonga,TON,20.924
Trinidad and Tobago,TTO,34.72
Tunisia,TUN,30.756
Turkey,TUR,30.825
Turkmenistan,TKM,25.13
Tuvalu,TUV,24.273
Uganda,UGA,15.691
Ukraine,UKR,40.481
United Arab Emirates,ARE,30.834
United Kingdom,GBR,39.091
United States,USA,37.002
Uruguay,URY,34.761
Uzbekistan,UZB,26.361
Vanuatu,VUT,20.188
Venezuela,VEN,27.854
Vietnam,VNM,30.586
Western Sahara,ESH,30.562
Yemen,YEM,18.017
Zambia,ZMB,16.763
Zimbabwe,ZWE,17.187
