Country,Code,urban_population
Afghanistan,AFG,25.754
Albania,ALB,61.229
Algeria,DZA,73.189
Andorra,AND,87.984
Angola,AGO,66.177
Antigua and Barbuda,ATG,24.506
Argentina,ARG,91.991
Armenia,ARM,63.219
Australia,AUS,86.124
Austria,AUT,58.515
Azerbaijan,AZE,56.031
Bahamas,BHS,83.132
Bahrain,BHR,89.394
Bangladesh,BGD,37.405
Barbados,BRB,31.158
Belarus,BLR,79.044
Belgium,BEL,98.041
Belize,BLZ,45.866
Benin,BEN,47.861
Bhutan,BTN,41.612
Bolivia,BOL,69.773
Bosnia and Herzegovina,BIH,48.626
Botswana,BWA,70.172
Brazil,BRA,86.824
Brunei,BRN,77.942
Bulgaria,BGR,75.347
Burkina Faso,BFA,29.98
Burundi,BDI,13.366
Cambodia,KHM,23.805
Cameroon,CMR,56.968
Canada,CAN,81.482
Cape Verde,CPV,66.195
Central African Republic,CAF,41.77
Chad,TCD,23.279
Chile,CHL,87.643
China,CHN,60.308
Colombia,COL,81.104
Comoros,COM,29.164
Congo,COG,67.373
Costa Rica,CRI,80.076
Cote d'Ivoire,CIV,51.239
Croatia,HRV,57.242
Cuba,CUB,77.109
Cyprus,CYP,66.805
Czechia,CZE,73.921
Democratic Republic of Congo,COD,45.046
Denmark,DNK,87.994
Djibouti,DJI,77.915
Dominica,DMA,70.786
Dominican Republic,DOM,81.828
East Timor,TLS,30.947
Ecuador,ECU,63.986
Egypt,EGY,42.73
El Salvador,SLV,72.746
Equatorial Guinea,GNQ,72.627
Eritrea,ERI,40.712
Estonia,EST,69.051
Eswatini,SWZ,23.981
Ethiopia,ETH,21.225
Fiji,FJI,56.75
Finland,FIN,85.446
France,FRA,80.709
Gabon,GAB,89.741
Gambia,GMB,61.931
Georgia,GEO,59.039
Germany,DEU,77.376
Ghana,GHA,56.707
Greece,GRC,79.388
Greenland,GRL,87.052
Grenada,GRD,36.396
Guatemala,GTM,51.439
Guinea,GIN,36.5
Guinea-Bissau,GNB,43.777
Guyana,GUY,26.689
Haiti,HTI,56.192
Honduras,HND,57.73
Hungary,HUN,71.644
Iceland,ISL,93.855
India,IND,34.472
Indonesia,IDN,55.985
Iran,IRN,75.391
Iraq,IRQ,70.678
Ireland,IRL,63.405
Israel,ISR,92.501
Italy,ITA,70.736
Jamaica,JAM,55.985
Japan,JPN,91.698
Jordan,JOR,91.203
Kazakhstan,KAZ,57.54
Kenya,KEN,27.507
Kiribati,KIR,54.835
Kuwait,KWT,100
Kyrgyzstan,KGZ,36.591
Laos,LAO,35.645
Latvia,LVA,68.222
Lebanon,LBN,88.758
Lesotho,LSO,28.585
Liberia,LBR,51.615
Libya,LBY,80.393
Liechtenstein,LIE,14.371
Lithuania,LTU,67.855
Luxembourg,LUX,91.223
Madagascar,MDG,37.861
Malawi,MWI,17.174
Malaysia,MYS,76.607
Maldives,MDV,40.238
Mali,MLI,43.136
Malta,MLT,94.678
Marshall Islands,MHL,77.417
Mauritania,MRT,54.507
Mauritius,MUS,40.766
Mexico,MEX,80.444
Micronesia (country),FSM,22.812
Moldova,MDA,42.726
Monaco,MCO,100
Mongolia,MNG,68.543
Montenegro,MNE,67.15
Morocco,MAR,62.994
Mozambique,MOZ,36.528
Myanmar,MMR,30.852
Namibia,NAM,51.042
Nauru,NRU,100
Nepal,NPL,20.153
Netherlands,NLD,91.876
New Caledonia,NCL,71.104
New Zealand,NZL,86.615
Nicaragua,NIC,58.76
Niger,NER,16.517
Nigeria,NGA,51.157
North Korea,PRK,62.134
North Macedonia,MKD,58.208
Norway,NOR,82.616
Oman,OMN,85.443
Pakistan,PAK,36.907
Palau,PLW,80.47
Palestine,PSE,76.44
Panama,PAN,68.059
Papua New Guinea,PNG,13.25
Paraguay,PRY,61.879
Peru,PER,78.099
Philippines,PHL,47.149
Poland,POL,60.037
Portugal,PRT,65.764
Puerto Rico,PRI,93.576
Qatar,QAT,99.188
Romania,ROU,54.084
Russia,RUS,74.587
Rwanda,RWA,17.313
Saint Kitts and Nevis,KNA,30.799
Saint Lucia,LCA,18.754
Saint Vincent and the Grenadines,VCT,52.614
Samoa,WSM,18.056
San Marino,SMR,97.368
Sao Tome and Principe,STP,73.598
Saudi Arabia,SAU,84.065
Senegal,SEN,47.653
Serbia,SRB,56.26
Seychelles,SYC,57.119
Sierra Leone,SLE,42.484
Singapore,SGP,100
Slovakia,SVK,53.729
Slovenia,SVN,54.822
Solomon Islands,SLB,24.21
Somalia,SOM,45.554
South Africa,ZAF,66.856
South Korea,KOR,81.43
South Sudan,SSD,19.899
Spain,ESP,80.565
Sri Lanka,LKA,18.585
Sudan,SDN,34.936
Suriname,SUR,66.095
Sweden,SWE,87.708
Switzerland,CHE,73.849
Syria,SYR,54.821
Tajikistan,TJK,27.309
Tanzania,TZA,34.5
Thailand,THA,50.692
Togo,TGO,42.248
Tonga,TON,23.107
Trinidad and Tobago,TTO,53.187
Tunisia,TUN,69.254
Turkey,TUR,75.63
Turkmenistan,TKM,52.048
Tuvalu,TUV,63.215
Uganda,UGA,24.361
Ukraine,UKR,69.473
United Arab Emirates,ARE,86.789
United Kingdom,GBR,83.652
United States,USA,82.459
Uruguay,URY,95.426
Uzbekistan,UZB,50.433
Vanuatu,VUT,25.394
Venezuela,VEN,88.24
Vietnam,VNM,36.628
Yemen,YEM,37.273
Zambia,ZMB,44.072
Zimbabwe,ZWE,32.21
